"Var1","Var2","CSEdistance","lat1","long1","lat2","long2","Pop1_cluster","Pop2_cluster"
"17-LAG","30-OLE",0.345728450370452,3.4407,32.8529,2.3555,32.7159,"north","north"
"24-KIL","30-OLE",0.251445117875959,2.7403,32.9502,2.3555,32.7159,"north","north"
"14-OKS","30-OLE",0.292119327454035,3.2599,32.2241,2.3555,32.7159,"north","north"
"27-OCA","30-OLE",0.240033433501084,2.4272,32.6285,2.3555,32.7159,"north","north"
"26-OG","30-OLE",0.223203255618227,2.4384,32.9124,2.3555,32.7159,"north","north"
"01-AIN","30-OLE",0.355937779831492,3.3044,31.1191,2.3555,32.7159,"north","north"
"07-OSG","30-OLE",0.356082898063052,3.211,31.7253,2.3555,32.7159,"north","north"
"25-CHU","30-OLE",0.23169379245462,2.6069,32.9379,2.3555,32.7159,"north","north"
"21-KT","30-OLE",0.38326242479268,3.1709,32.8049,2.3555,32.7159,"north","north"
"10-PAG","30-OLE",0.332612729762857,3.3777,31.994,2.3555,32.7159,"north","north"
"19-KTC","31-ACA",0.372248508986898,3.2823,32.8232,2.2699,32.5209,"north","north"
"07-OSG","31-ACA",0.405981697182749,3.211,31.7253,2.2699,32.5209,"north","north"
"08-MY","31-ACA",0.403422567541942,3.6828,31.727,2.2699,32.5209,"north","north"
"14-OKS","31-ACA",0.362100928578327,3.2599,32.2241,2.2699,32.5209,"north","north"
"09-ORB","31-ACA",0.394063619523802,3.6922,31.7799,2.2699,32.5209,"north","north"
"26-OG","31-ACA",0.318695273774539,2.4384,32.9124,2.2699,32.5209,"north","north"
"24-KIL","31-ACA",0.346309770184579,2.7403,32.9502,2.2699,32.5209,"north","north"
"27-OCA","31-ACA",0.303402865771149,2.4272,32.6285,2.2699,32.5209,"north","north"
"17-LAG","31-ACA",0.439821255330804,3.4407,32.8529,2.2699,32.5209,"north","north"
"18-BOL","31-ACA",0.377523775015653,3.2934,32.7822,2.2699,32.5209,"north","north"
"28-AKA","31-ACA",0.329172403720681,2.3722,32.6757,2.2699,32.5209,"north","north"
"02-GAN","31-ACA",0.424004010125154,3.2521,31.1231,2.2699,32.5209,"north","north"
"10-PAG","31-ACA",0.407028833605781,3.3777,31.994,2.2699,32.5209,"north","north"
"22-OMI","31-ACA",0.363186242556341,3.0113,32.7323,2.2699,32.5209,"north","north"
"03-DUK","31-ACA",0.36234996567842,3.2671,31.1352,2.2699,32.5209,"north","north"
"15-NGO","31-ACA",0.419282398317635,3.6687,32.5914,2.2699,32.5209,"north","north"
"01-AIN","31-ACA",0.426242887996872,3.3044,31.1191,2.2699,32.5209,"north","north"
"20-TUM","31-ACA",0.361671740830073,3.2421,32.7608,2.2699,32.5209,"north","north"
"21-KT","31-ACA",0.445744333706695,3.1709,32.8049,2.2699,32.5209,"north","north"
"25-CHU","31-ACA",0.315963884139659,2.6069,32.9379,2.2699,32.5209,"north","north"
"12-OLO","31-ACA",0.400734805825458,3.4016,32.011,2.2699,32.5209,"north","north"
"30-OLE","31-ACA",0.330672523469445,2.3555,32.7159,2.2699,32.5209,"north","north"
"22-OMI","32-APU",0.278798522091218,3.0113,32.7323,2.0794,32.6762,"north","north"
"02-GAN","32-APU",0.396356239416942,3.2521,31.1231,2.0794,32.6762,"north","north"
"03-DUK","32-APU",0.402771703479851,3.2671,31.1352,2.0794,32.6762,"north","north"
"14-OKS","32-APU",0.314063411081919,3.2599,32.2241,2.0794,32.6762,"north","north"
"28-AKA","32-APU",0.211049003988117,2.3722,32.6757,2.0794,32.6762,"north","north"
"12-OLO","32-APU",0.362275481909323,3.4016,32.011,2.0794,32.6762,"north","north"
"21-KT","32-APU",0.396863129594334,3.1709,32.8049,2.0794,32.6762,"north","north"
"27-OCA","32-APU",0.239633069175922,2.4272,32.6285,2.0794,32.6762,"north","north"
"08-MY","32-APU",0.360755484481307,3.6828,31.727,2.0794,32.6762,"north","north"
"30-OLE","32-APU",0.232414570290619,2.3555,32.7159,2.0794,32.6762,"north","north"
"15-NGO","32-APU",0.368592874263387,3.6687,32.5914,2.0794,32.6762,"north","north"
"17-LAG","32-APU",0.36896022880948,3.4407,32.8529,2.0794,32.6762,"north","north"
"25-CHU","32-APU",0.191581253322903,2.6069,32.9379,2.0794,32.6762,"north","north"
"24-KIL","32-APU",0.243281403685522,2.7403,32.9502,2.0794,32.6762,"north","north"
"31-ACA","32-APU",0.321411955855775,2.2699,32.5209,2.0794,32.6762,"north","north"
"07-OSG","32-APU",0.375847431302624,3.211,31.7253,2.0794,32.6762,"north","north"
"01-AIN","32-APU",0.399519902659196,3.3044,31.1191,2.0794,32.6762,"north","north"
"09-ORB","32-APU",0.40068661459575,3.6922,31.7799,2.0794,32.6762,"north","north"
"10-PAG","32-APU",0.385528294976766,3.3777,31.994,2.0794,32.6762,"north","north"
"20-TUM","32-APU",0.287967808409109,3.2421,32.7608,2.0794,32.6762,"north","north"
"18-BOL","32-APU",0.281269965352502,3.2934,32.7822,2.0794,32.6762,"north","north"
"26-OG","32-APU",0.21417055508436,2.4384,32.9124,2.0794,32.6762,"north","north"
"19-KTC","32-APU",0.302027602330875,3.2823,32.8232,2.0794,32.6762,"north","north"
"27-OCA","33-AP",0.290180263330313,2.4272,32.6285,1.9756,32.5386,"north","north"
"19-KTC","33-AP",0.377367361945471,3.2823,32.8232,1.9756,32.5386,"north","north"
"24-KIL","33-AP",0.309436378247845,2.7403,32.9502,1.9756,32.5386,"north","north"
"21-KT","33-AP",0.440043899287952,3.1709,32.8049,1.9756,32.5386,"north","north"
"22-OMI","33-AP",0.353759795012639,3.0113,32.7323,1.9756,32.5386,"north","north"
"12-OLO","33-AP",0.400576520171722,3.4016,32.011,1.9756,32.5386,"north","north"
"26-OG","33-AP",0.300737729389017,2.4384,32.9124,1.9756,32.5386,"north","north"
"10-PAG","33-AP",0.394665688132731,3.3777,31.994,1.9756,32.5386,"north","north"
"31-ACA","33-AP",0.337557333679372,2.2699,32.5209,1.9756,32.5386,"north","north"
"20-TUM","33-AP",0.34120361469917,3.2421,32.7608,1.9756,32.5386,"north","north"
"08-MY","33-AP",0.424447161821823,3.6828,31.727,1.9756,32.5386,"north","north"
"15-NGO","33-AP",0.414542504902311,3.6687,32.5914,1.9756,32.5386,"north","north"
"02-GAN","33-AP",0.447446701308438,3.2521,31.1231,1.9756,32.5386,"north","north"
"01-AIN","33-AP",0.42450181280602,3.3044,31.1191,1.9756,32.5386,"north","north"
"18-BOL","33-AP",0.355547197437766,3.2934,32.7822,1.9756,32.5386,"north","north"
"17-LAG","33-AP",0.42335375787982,3.4407,32.8529,1.9756,32.5386,"north","north"
"25-CHU","33-AP",0.302676159900789,2.6069,32.9379,1.9756,32.5386,"north","north"
"28-AKA","33-AP",0.280501622675028,2.3722,32.6757,1.9756,32.5386,"north","north"
"03-DUK","33-AP",0.434451378563832,3.2671,31.1352,1.9756,32.5386,"north","north"
"07-OSG","33-AP",0.406450154145527,3.211,31.7253,1.9756,32.5386,"north","north"
"30-OLE","33-AP",0.275350016906076,2.3555,32.7159,1.9756,32.5386,"north","north"
