"","Var1","Var2","resid_ibd","BIO1_mean","BIO2_mean","BIO3_mean","BIO4_mean","BIO5_mean","BIO6_mean","BIO7_mean","BIO8S_mean","BIO9S_mean","BIO10S_mean","BIO11S_mean","BIO12_mean","BIO13_mean","BIO14_mean","BIO15_mean","BIO16S_mean","BIO17S_mean","BIO18S_mean","BIO19S_mean","slope_mean","alt_mean","lakes_mean","riv_3km_mean"
"280","21-KT","33-AP",0.0750957072328789,2969.75730618564,89.5971433466131,62.8856116641651,1598.42144983465,3056.05492193049,2912.96779701926,143.087120836431,71.5033145817843,127.294033484025,210.841382806951,121.391098455949,1352.5662911155,311.448862942782,7.9810606024482,78.8938622041182,2979.45233154297,2954.97396018288,2964.06865067915,2955.54971452193,1.27059864989397,1020.95075260509,0,1.78707646197661e-12
"281","22-OMI","33-AP",0.00209906427009818,2968.70805895006,89.3793166392558,62.7588723672403,1605.21624920819,3055.01125851193,2911.97071137299,143.040540437441,72.814564704895,127.093468021702,214.118243140143,121.499436919754,1373.1711739205,318.311936249604,8.19707206777624,79.1040758184485,2978.38851351351,2954.14301526869,2962.89582288587,2954.68299164643,1.25332300636817,1040.0074005127,0,1.91374162246702e-12
"282","12-OLO","33-AP",0.00762974892238448,2971.03723715924,89.2424350495034,62.8107176922737,1578.88839033411,3057.56808510638,2914.74468396775,142.823404385181,73.8984633100794,131.889716063155,222.547163098924,126.44751739502,1396.85177547374,332.472339256774,8.00141845053815,80.5999771442819,2980.1950330369,2957.04645216922,2966.06773188165,2957.35709046709,1.43155817015374,980.269146079205,0,1.87576617038607e-12
"283","26-OG","33-AP",-0.0286190484360589,2967.94801738475,88.7189223034547,62.2562942504883,1631.54080532565,3054.03133460319,2910.95214360303,143.079208676178,67.7318481218697,113.150164840245,193.349834782062,107.051155241409,1268.91913869121,295.079208676178,8.30693072611743,78.9843052779094,2977.84158174118,2953.52145053373,2961.50329227259,2954.1831731513,1.06339717088359,1063.17049475944,0,1.47994443885841e-12
"284","10-PAG","33-AP",0.00219346907312677,2970.95809858273,89.1855414626945,62.7937765692034,1579.19231186565,3057.46367417034,2914.68732158954,142.776353298089,73.9813630845812,130.47435913738,223.80840418889,125.920939975315,1397.38034188034,333.436609251886,8.03276356265076,80.6888610318176,2980.08356391059,2957.06659718049,2965.98076818743,2957.36288686899,1.38135780744318,981.700435279781,0,2.03839048646306e-12
"285","31-ACA","33-AP",0.0380973438074937,2967.9733436986,88.171053033126,62.3732418261076,1581.89237253289,3053.63596705386,2911.58332905016,142.052631578947,74.0467838488127,114.436402772602,211.085526315789,111.438596625077,1351.32018721731,323.662279630962,9.56578942349083,79.5479266518041,2977.19442588405,2954.87936240748,2961.86843390214,2955.39474326686,0.812818062540732,1049.00817549856,0,1.55235229438967e-12
"286","20-TUM","33-AP",-0.0256427861148363,2970.5551038954,89.6407409667969,62.9666620890299,1591.3836452908,3056.84535590278,2913.85740966797,142.987962849935,72.4810187869602,128.557407251994,213.193518829346,122.724537022909,1364.05000542535,314.456481424967,8.01574074162377,78.9452984280056,2980.1713039822,2955.82175971137,2964.99305284288,2956.37778049045,1.46663831431005,1004.02541368273,0,2.16213369651619e-12
"287","08-MY","33-AP",-0.000294606139645339,2971.09322453177,88.7909308679846,62.8056401638006,1564.4184347999,3057.37418026956,2915.20032627535,142.173841009077,81.6850626358133,138.115894267101,242.751379404636,136.160596354908,1504.98289237117,358.329469289211,8.84271525705097,80.9027378006487,2979.85853505924,2957.52649006623,2966.75054810379,2957.71634093026,1.85420305068359,966.071208221233,0,1.2689364784638e-12
"288","15-NGO","33-AP",0.0334595383963058,2971.19650413876,89.7,63.1706104641869,1556.25549548921,3057.39126209077,2914.7095203218,142.681745910645,73.6349209558396,133.877777426583,222.04523824056,127.83769854591,1391.14365583147,324.26031603132,8.02301589874994,79.9365121023995,2980.48002929687,2956.65793457031,2966.17936081659,2957.17302362351,1.60157760970649,979.602064441499,0,1.9191588663982e-12
"289","02-GAN","33-AP",0.0122647851728371,2973.90472713518,87.8195730138708,62.5901740392049,1568.19634369273,3059.25052294319,2918.00051390095,141.250000235475,73.4207819950433,130.029064060729,233.952932098765,129.8374487559,1407.18364272883,356.136830271026,8.41306587501808,84.4301915109893,2982.21176486545,2961.41768994743,2969.80966676312,2961.42387333623,1.83818981194018,917.274535379292,0,1.95311882976958e-12
